Anul,Titlu
1920,Astra Romana.
1911,"De „Koninklijke"" in Romenë."
1916,Petroleum Mij. Astra Romana.
1929,Brand in de petroleumbronnen van Moreni.
1929,Brand in de petroleumbronnen van Moreni.
1929,Brand in de petroleumbronnen van Moreni.
1927,NAGEKOMEN BEURSBERICHTEN. ASTRA ROMANA. Nieuwe sonde.
1930,Het eeuwige vuur van Moreni. — Hierboven een foto van de
1916,Astra Romana.
1905,De Romano-American Co.
1911,De „Koninklijke” in Rumenië.
1929,De petroleumbrand te Moreni woedt nog steeds.
1929,BRONNEN VAN MORENI.
1928,DE ONTZAGLIJKE PETROLEUM-BRANDEN TE MORENI IN
1915,Astra Romana.
1925,Het petroleum-dorp Moreni in vlammen.
1925,Het petroleum-dorp Moreni in vlammen.
1925,PETROLEUMBRAND IN RUMENIE. HET DORP MORENI IN VLAMMEN.
1937,Ontploffing te Moreni.
1929,DE BALKAN.
1930,Na een jaar is het gelukt den petroleumbrand te Moreni (Roemenie) te blusschen.
1931,"Botsing tusschen twee petroleum-treinen bij Moreni in Roemenië, waarbij 14"
1937,Ontploffing te Moreni
1937,ONTPLOFFING TE MORENI.
1937,Ontploffing te Moreni
1937,ONTPLOFFING TE MORENI.
1937,Ontploffing te Moreni.
1916,Astra Romana.
1930,De brand van Moreni.
1929,Brand in petroleumbronnen.
1920,Astra Romana.
1929,ASTRA ROMANA. Sonde 305 van Moreni.
1929,Brand in petroleumbronnen.
1929,"BERICHTEN, OPGENOMEN IN DE LAATSTE EDITIE VAN ONS VORIG NUMMER. DE PETROLEUMBRAND TE MORENI. 4 Arbeiders door een ontploffing gedood."
1929,Petroleumbmnd
1929,PETROLEUMBRAND IN ROEMENIE.
1931,Nieuwe petroleumbrand nabij Moreni 10 millioen lei schade
1916,Astra Romana.
1930,De groote petroleumbrand bij Moreni. Op de olievelden nabij Moreni is dezer dagen zooals men weet een geweldige brand uitgebroken. Bovenstaande foto werd op de plaats des onheils genomen.
1928,ASTRA ROMANA. Weder een nieuwe sonde.
2003,Ziekenboeg
1930,Het eeuwige vuur van Moreni
1930,Het petroleumgebied van Moreni sta t opnieuw in brand. Voor honderden
1928,DE ONTZAGLIJKE PETBOLEUMBRANDEN TE MORENI
1930,Een nieuwe petroleumbrand teistert weer het petroleumgebied van Moreni.
1928,ASTRA ROMANA. Bron 231 van het Moreni-veld in productie.
1931,NIEUWE PETROLEUMBRAND BIJ MORENI.
1930,ROEMENIE De petroleumbrand te Moreni.
1930,jROEMENIE De petroleumbrand te Moreni.
1930,ROEMENIE De petroleumbrand te Moreni
1929,DE BALKAN. De ontploffing in Moreni.
1929,"ROEMENIË KETELONTPLOFFING BIJ MORENI. Tien dooden, acht gewonden."
1931,PETROLEUMBRAND IN 'T GEBIED VAN MORENI.
1913,Uit de Petroleum-industrie.
1915,Astra Romana.
1915,Astra Romana.
1916,Astra Romana.
1929,Een ernstige ontploffing.
1929,NIEUWE ONTPLOFFINGEN TE MORENI.
1931,ROEMENIË.
1926,CRÉDIT MINIER. Bron na. 41 in het Moreni-district aangeboord.
1929,DE PETROLEUMSRAND TE MORENI Er hebben zich 28 kraters gevormd. Paniek onder de bevolking.
1926,Petrolenmlndustrie.
1931,De petroleumbrand te Moreni gedoofd
1916,Astra Romana.
1914,Uit de Petroleumindustrie.
1931,Petroleumbrand te Moreni BELANGRIJK UITGEBREID
1929,Telegrammen Ontploffing in Roemenië.
