Anul,Titlu,Aspect_Detectat,Sentiment_Stele
1920,Astra Romana.,TEHNOLOGIE,5
1911,"De „Koninklijke"" in Romenë.",FINANCIAR,5
1916,Petroleum Mij. Astra Romana.,TEHNOLOGIE,5
1929,Brand in de petroleumbronnen van Moreni.,ACCIDENT,1
1929,Brand in de petroleumbronnen van Moreni.,ACCIDENT,1
1929,Brand in de petroleumbronnen van Moreni.,ACCIDENT,1
1927,NAGEKOMEN BEURSBERICHTEN. ASTRA ROMANA. Nieuwe sonde.,FINANCIAR,5
1930,Het eeuwige vuur van Moreni. — Hierboven een foto van de,TEHNOLOGIE,5
1916,Astra Romana.,TEHNOLOGIE,5
1905,De Romano-American Co.,TEHNOLOGIE,3
1911,De „Koninklijke” in Rumenië.,FINANCIAR,5
1929,De petroleumbrand te Moreni woedt nog steeds.,FINANCIAR,1
1929,BRONNEN VAN MORENI.,TEHNOLOGIE,3
1928,DE ONTZAGLIJKE PETROLEUM-BRANDEN TE MORENI IN,TEHNOLOGIE,1
1915,Astra Romana.,TEHNOLOGIE,5
1925,Het petroleum-dorp Moreni in vlammen.,FINANCIAR,1
1925,Het petroleum-dorp Moreni in vlammen.,FINANCIAR,1
1925,PETROLEUMBRAND IN RUMENIE. HET DORP MORENI IN VLAMMEN.,FINANCIAR,1
1937,Ontploffing te Moreni.,TEHNOLOGIE,1
1929,DE BALKAN.,FINANCIAR,4
1930,Na een jaar is het gelukt den petroleumbrand te Moreni (Roemenie) te blusschen.,TEHNOLOGIE,1
1931,"Botsing tusschen twee petroleum-treinen bij Moreni in Roemenië, waarbij 14",ACCIDENT,1
1937,Ontploffing te Moreni,TEHNOLOGIE,1
1937,ONTPLOFFING TE MORENI.,FINANCIAR,1
1937,Ontploffing te Moreni,TEHNOLOGIE,1
1937,ONTPLOFFING TE MORENI.,FINANCIAR,1
1937,Ontploffing te Moreni.,TEHNOLOGIE,1
1916,Astra Romana.,TEHNOLOGIE,5
1930,De brand van Moreni.,TEHNOLOGIE,1
1929,Brand in petroleumbronnen.,GREVA,5
1920,Astra Romana.,TEHNOLOGIE,5
1929,ASTRA ROMANA. Sonde 305 van Moreni.,TEHNOLOGIE,5
1929,Brand in petroleumbronnen.,GREVA,5
1929,"BERICHTEN, OPGENOMEN IN DE LAATSTE EDITIE VAN ONS VORIG NUMMER. DE PETROLEUMBRAND TE MORENI. 4 Arbeiders door een ontploffing gedood.",ACCIDENT,1
1929,Petroleumbmnd,GREVA,5
1929,PETROLEUMBRAND IN ROEMENIE.,TEHNOLOGIE,1
1931,Nieuwe petroleumbrand nabij Moreni 10 millioen lei schade,TEHNOLOGIE,1
1916,Astra Romana.,TEHNOLOGIE,5
1930,De groote petroleumbrand bij Moreni. Op de olievelden nabij Moreni is dezer dagen zooals men weet een geweldige brand uitgebroken. Bovenstaande foto werd op de plaats des onheils genomen.,ACCIDENT,1
1928,ASTRA ROMANA. Weder een nieuwe sonde.,TEHNOLOGIE,5
2003,Ziekenboeg,TEHNOLOGIE,4
1930,Het eeuwige vuur van Moreni,FINANCIAR,5
1930,Het petroleumgebied van Moreni sta t opnieuw in brand. Voor honderden,TEHNOLOGIE,1
1928,DE ONTZAGLIJKE PETBOLEUMBRANDEN TE MORENI,FINANCIAR,1
1930,Een nieuwe petroleumbrand teistert weer het petroleumgebied van Moreni.,TEHNOLOGIE,1
1928,ASTRA ROMANA. Bron 231 van het Moreni-veld in productie.,TEHNOLOGIE,5
1931,NIEUWE PETROLEUMBRAND BIJ MORENI.,TEHNOLOGIE,1
1930,ROEMENIE De petroleumbrand te Moreni.,FINANCIAR,1
1930,jROEMENIE De petroleumbrand te Moreni.,FINANCIAR,1
1930,ROEMENIE De petroleumbrand te Moreni,FINANCIAR,1
1929,DE BALKAN. De ontploffing in Moreni.,ACCIDENT,1
1929,"ROEMENIË KETELONTPLOFFING BIJ MORENI. Tien dooden, acht gewonden.",ACCIDENT,1
1931,PETROLEUMBRAND IN 'T GEBIED VAN MORENI.,TEHNOLOGIE,1
1913,Uit de Petroleum-industrie.,GREVA,5
1915,Astra Romana.,TEHNOLOGIE,5
1915,Astra Romana.,TEHNOLOGIE,5
1916,Astra Romana.,TEHNOLOGIE,5
1929,Een ernstige ontploffing.,TEHNOLOGIE,1
1929,NIEUWE ONTPLOFFINGEN TE MORENI.,TEHNOLOGIE,1
1931,ROEMENIË.,FINANCIAR,5
1926,CRÉDIT MINIER. Bron na. 41 in het Moreni-district aangeboord.,FINANCIAR,1
1929,DE PETROLEUMSRAND TE MORENI Er hebben zich 28 kraters gevormd. Paniek onder de bevolking.,TEHNOLOGIE,1
1926,Petrolenmlndustrie.,GREVA,5
1931,De petroleumbrand te Moreni gedoofd,TEHNOLOGIE,1
1916,Astra Romana.,TEHNOLOGIE,5
1914,Uit de Petroleumindustrie.,GREVA,5
1931,Petroleumbrand te Moreni BELANGRIJK UITGEBREID,FINANCIAR,5
1929,Telegrammen Ontploffing in Roemenië.,ACCIDENT,1
1931,DE PETROLEUMBRON BIJ MORENI. Opnieuw in brand.,TEHNOLOGIE,1
1928,"SPOOR-, MIJN- EN ANDERE OPBRENGSTEN.",FINANCIAR,5
1931,DE PETROLEUMBRAND IN MORENI. Nieuwe bron in vlammen.,TEHNOLOGIE,5
1929,DE BALKAN. DE ONTPLOFFING IN MORENI.,FINANCIAR,1
1930,De petroleum-brand te Moreni.,FINANCIAR,1
1930,DE NIEUWE PETROLEUMBRAND BIJ MORENI IN ROEMENIE. — Het is vrijwel,TEHNOLOGIE,1
1929,De oliebronnen bij Moreni (RoemeniÃ«) staan reeds 3 maanden in brand. Alle blusschingspogingen,ACCIDENT,1
1925,"Een foto van den petroleumbrand in Moreni, waar een sonde van de",TEHNOLOGIE,1
1928,ASTRA ROMANA. Gas-eruptie in bron 298 in het Moreni-veld.,TEHNOLOGIE,1
1929,PETROLEUM-BRAND IN MORENI Een dozijn boortorens in lichte laaie,TEHNOLOGIE,1
1929,VAN HIER EN DAAR. Nieuwe ontploffingen te Moreni.,TEHNOLOGIE,1
1929,ROEMEENSCHE PETROLEUMINDUSTRIE. Petroleumkartel. — De brand te Moreni.,FINANCIAR,1
1930,PETROLEUMBRAND TE MORENI. Pogingen tot blussching mislukt.,ACCIDENT,1
1931,ROEMENIË. NIEUWE PETROLEUMBRAND NABIJ MORENI. Groote schade.,TEHNOLOGIE,1
1931,ROEMENIË. DE BRAND BIJ MORENI GEBLUSCHT. Na 2½ jaar.,FINANCIAR,1
1930,ROEMENIE De potroleumbrand te Moreni.,FINANCIAR,1
1931,ROEMENIE De brand van de petroleumbron van Moreni opnieuw gebluscht.,TEHNOLOGIE,1
1931,ROEMENIE De brand van de petroleum bron van Moreni opnieuw gebluscht.,TEHNOLOGIE,1
1930,ROEMENIE De petroleumbrand te Moreni.,FINANCIAR,1
1931,ROEMENIE De brand van de petroleumbron van Moreni opnieuw gebluscht.,TEHNOLOGIE,1
1930,ROEMENIE De petroleumbranden te Moreni.,TEHNOLOGIE,1
1930,ROEMENIE De petroleumbranden te Moreni.,TEHNOLOGIE,1
1931,De petroleumbrand te Moreni.,FINANCIAR,1
1931,DE BRAND BIJ MORENI GEBLUSCHT.,FINANCIAR,1
1927,ASTRA ROMANA. Productie Moreni-Stavropoleos.,TEHNOLOGIE,4
1925,PETROLEUMBRAND IN ROEMENIë,FINANCIAR,1
1916,Petroleum Mpij. Astra Romana.,TEHNOLOGIE,5
1925,Petroleumbrand in Roemenië.,FINANCIAR,1
1925,DE BALKAN.,FINANCIAR,4
1930,DE PETROLEUMBRAND IN ROEMENIë.,TEHNOLOGIE,1
1929,DE PETROLEUMBRAND TE MORENI.,TEHNOLOGIE,1
1929,PETROLEUM-BRONNEN TE MOREN! IN BRAND. .,FINANCIAR,1
1929,DE BRAND IN HET PETROLEUMGEBIED VAN MORENI.,TEHNOLOGIE,1
1929,DE PETROLEUMBRAND TE MORENI.,TEHNOLOGIE,1
1920,FSNANCIEELE BERICHTEN.,FINANCIAR,5
1914,Uit de Petroleum-industrie.,GREVA,5
1915,Astra Romana.,TEHNOLOGIE,5
1925,Petroleumbrand in Roemenië.,FINANCIAR,1
1929,EEN NIEUW ONGELUK IN HET PETROLEUMGEBIED VAN MORENI. Vijf arbeiders onder instortende aardmassa’s bedolven. Verscheidene gewonden.,ACCIDENT,1
1929,Een nieuw ongeluk in het petroleum gebied van Moreni.,TEHNOLOGIE,1
1929,Een nieuw ongeluk in het petroleumgebied van Moreni.,TEHNOLOGIE,1
1929,Een nieuw ongeluk in het petroleumgebied van Moreni.,TEHNOLOGIE,1
1913,Petroleum-mpij. Astra Romana.,TEHNOLOGIE,5
1929,DE BRAND OP DE PETROLEUMBRONNEN VAN MORENI.,TEHNOLOGIE,1
1925,"Petroleum brand in Roemenië.""",FINANCIAR,5
1917,TELEGRAMMEN. 18 Juni. DE OORLOG. (Vervolg van het Eerste Blad.) Ter zee. GETORPEDEERD.,TEHNOLOGIE,1
1929,DE PETROLEUMBRAND TE MORENI.,TEHNOLOGIE,1
1913,Astra-Romana,TEHNOLOGIE,5
1914,LAATSTE BERICHTEN. FINANCIEELE BERICHTEN.,FINANCIAR,5
1914,Uit de Petroleumindustrie.,GREVA,5
1915,Uit de Petroleum-Industrie.,GREVA,5
1931,Uitbreiding van den petroleumbrand te Moreni. Meer dan 10 millioen Lei schade.,TEHNOLOGIE,1
1930,DE PETROLEUMBRAND TE MORENI.,TEHNOLOGIE,1
1930,DE PETROLEUMBRANDEN TE MORENI.,FINANCIAR,1
1931,PETROLEUMBRAND BIJ MORENI. Van zelf gebluscht.,FINANCIAR,1
1914,Petroleum Mij. Astra Romana.,TEHNOLOGIE,5
1939,"De Roemeensche olieveden Moreni aan den voet der Trans-sylvanische Alpen, die luidens het tus- Schen Roemnti een Duitschla nd gesloten verdrag naast de overige Boemeensche oliebronnen Duitsch- land van olie zullen voorzien.",TEHNOLOGIE,1
1929,ROEMENIë. De groote petroleumbrand te Moreni.,TEHNOLOGIE,1
1931,Petroleumbrand te Moreni. Meer dan 10 millioen schade.,TEHNOLOGIE,1
1929,De petroleumbrand te Moreni.,FINANCIAR,1
1926,Petroleum»iudustrie.,ACCIDENT,5
1931,ROEMENIE. DE BRAND TE MORENI UITGEBREID.,FINANCIAR,1
1931,ROEMENIE,TEHNOLOGIE,3
1929,ROEMENIE. ONTPLOFFING OP DE PETROLEUMVELDEN. Vijf dooden.,TEHNOLOGIE,1
1931,De petroleum brand te Moreni TEN TWEEDEN MALE GEDOOFD,ACCIDENT,1
1931,DE PETROLEUMBRAND BIJ MORENI. Na 2½ jaar vanzelf gebluscht.,FINANCIAR,1
1931,IN HET PETROLEUMGEBIED VAN MORENI. Opnieuw brand uitgebroken.,TEHNOLOGIE,1
1929,ROEMENIE. Ontploffing op de petroleumvelden.,TEHNOLOGIE,1
1929,DE PETROLEUMBRAND BIJ MORENI.,TEHNOLOGIE,1
1931,ROEMENIE. De petroleumbrand bij Moreni.,TEHNOLOGIE,1
1931,ROEMENIË. PETROLEUMBRAND BIJ MORENI.,FINANCIAR,1
1930,ROEMENIE. DE PETROLEUMBRANDEN TE MORENI. Geen heep meer op stuiting.,FINANCIAR,1
1930,DE PETROLEUMBRANDEN TE MORENI.,FINANCIAR,1
1929,DE BALKAN. Petroleumbrand in Moreni. — Een dozijn Boortorens in lichtelaaie.,TEHNOLOGIE,1
1929,De peboleumbrand te Moreni breidt zich uit.,TEHNOLOGIE,1
1929,"ONTPLOFFING OP DE PETROLEUM-VELDEN. Vijf dooden. BOEKAREST, 30 Juli.",ACCIDENT,1
1931,Gemengde Buitenlandsche Berichten,FINANCIAR,4
1931,Gemengde Buitenlandsche Berichten,FINANCIAR,4
1931,Gemengde Buitenlandsche Berichten,FINANCIAR,4
1930,DE PETOLEUMBRANDEN TE MORENI Geen hoop meer op stuiting,GREVA,1
1930,De petroleumbrand te Moreni. Nieuwe ontploffingen.,TEHNOLOGIE,1
1930,ROEMENIE De petroleumbranden te Moreni.,TEHNOLOGIE,1
1931,WEER EEN PETROLEUMBRAND TE MORENI.,TEHNOLOGIE,1
1915,Astra Romana.,TEHNOLOGIE,5
1915,Astra Romana.,TEHNOLOGIE,5
1925,Het petroleumgebied van Moreni (Roemenië).,FINANCIAR,4
1931,ROEMENIE. PETROLEUMBRAND BIJ MORENI. Van zelf gebluscht.,FINANCIAR,1
1916,Astra Romana.,TEHNOLOGIE,5
1932,OLIESPUITERS IN ROEMENIE. Streek bij Moreni overstroomd.,FINANCIAR,1
1930,DE PETROLEUMBRANDEN TE MORENI.,FINANCIAR,1
1929,DEPETROLEUMBRAND TE MORENI Millioenen schade,ACCIDENT,1
1913,Uit de Petroleum-industrie.,GREVA,5
1914,Uit de Petroleumindustrie.,GREVA,5
1930,FINANCIËN DE ROEMEENSCHE PETROLEUMINDUSTRIE Verschillende cijfers over 1929,FINANCIAR,3
1930,FINANCIËN DE ROEMEENSCHE PETROLEUM-INOUSTRIE,FINANCIAR,3
1914,Uit de Petroleum-industrie.,GREVA,5
1911,Uit de Patroleumindustrie.,ACCIDENT,5
1911,Uit de petroleumindustrie.,GREVA,5
1915,Uit de Petroleum-industrie.,GREVA,5
1916,Petroleum Mpij. Astra Romana.,TEHNOLOGIE,5
1926,(Ingezonden Mededeeling.) PHOENIX OIL AND TRANSPORT. INDRUKKEN VAN DEN REDACTEUR VAN DE „FINANCIAL TIMES” BIJ EEN BEZOEK AAN DE BEZITTINGEN. MERKWAARDIGE VOORUITGANG.,FINANCIAR,5
1981,Renaissance,FINANCIAR,5
1931,DE PETROLEUMBRAND TE MORENI GEëINDIGD.,TEHNOLOGIE,1
1929,DE PETROLEUMBRAND TE MORENI Neemt steeds ernstiger afmetingen aan.,TEHNOLOGIE,2
1930,DE BRAND IN HET ROEMEENSCHE PETROLEUMGEBIED.,TEHNOLOGIE,1
1925,Brand op de Roemeensushe olieterreinem.,TEHNOLOGIE,1
1929,DE PETROLEUMBRAND TE MORENI. Uitbreiding.,TEHNOLOGIE,2
1929,ROEMEENSCHE PETROLEUM-INDUSTRIE. De brand te Moreni.,TEHNOLOGIE,1
1930,ROEMENIE. De petroleumbrand in Moreni.,FINANCIAR,1
1931,De petroleumbrand te Moreni ten einde. Na 2½ jaar vanzelf uitgegaan.,ACCIDENT,1
1931,De petroleumbrand te Moreni ten einde. Na 2½ jaar vanzelf uitgegaan.,ACCIDENT,1
1930,ROEMENIë. De petroleumbrand in Moreni.,FINANCIAR,1
1929,NIET TE BLUSSCHEN PETROLEUMBRAND IN MORENI. Bij een ontploffing vijf arbeiders gedood.,ACCIDENT,1
1929,DE PETROLEUMBRAND TE MORENI. Uitbreiding.,TEHNOLOGIE,2
1913,Uitge Bijnaren.,FINANCIAR,5
1926,"UIT DE ROEMEENSCHE PETROLEUMINDUSTRIE. Handhaving productie, — Lage benzineprijzen.",TEHNOLOGIE,5
1930,DE PETROLEUMBRANDEN IN ROEMENIE.,TEHNOLOGIE,5
1916,Uit de Petroleumindustrie.,GREVA,5
1916,Astra Romana.,TEHNOLOGIE,5
1929,De pogingen tot blussching van den petroleurnbrand te Moreni nog steeds vergeefsch.,ACCIDENT,2
1916,Productiecijfers.,FINANCIAR,4
1914,Petroleum-Mij. „Astra Romana”.,TEHNOLOGIE,5
1928,"Gemengde Berichten. NEDERLANDER OMGEKOMEN. J.P. Veldermsn, ttn der dappere beormeestefs van de „Astra” te Moreni.",ACCIDENT,1
1928,ASTRA ROMANA. Verminderde productie. — Betaling oorlogsschadevergoeding.,TEHNOLOGIE,1
