Data_Publicarii,Titlu,URL_Sursa,Sentiment_Stele,Scor_Incredere
1920/09/09 00:00:00,Astra Romana.,http://resolver.kb.nl/resolve?urn=ddd:010654712:mpeg21:a0113:ocr,5 stars,0.4404076635837555
1911/05/15 00:00:00,"De „Koninklijke"" in Romenë.",http://resolver.kb.nl/resolve?urn=ddd:010323397:mpeg21:a0043:ocr,5 stars,0.33638691902160645
1916/08/26 00:00:00,Petroleum Mij. Astra Romana.,http://resolver.kb.nl/resolve?urn=ddd:010366736:mpeg21:a0074:ocr,5 stars,0.3379743695259094
1929/01/30 00:00:00,Brand in de petroleumbronnen van Moreni.,http://resolver.kb.nl/resolve?urn=MMKB23:001327058:mpeg21:a00019:ocr,1 star,0.5635063648223877
1929/01/30 00:00:00,Brand in de petroleumbronnen van Moreni.,http://resolver.kb.nl/resolve?urn=MMKB23:001327060:mpeg21:a00019:ocr,1 star,0.5635063648223877
1929/01/30 00:00:00,Brand in de petroleumbronnen van Moreni.,http://resolver.kb.nl/resolve?urn=MMKB23:001327059:mpeg21:a00019:ocr,1 star,0.5635063648223877
1927/09/30 00:00:00,NAGEKOMEN BEURSBERICHTEN. ASTRA ROMANA. Nieuwe sonde.,http://resolver.kb.nl/resolve?urn=ddd:010659164:mpeg21:a0185:ocr,5 stars,0.42108407616615295
1930/10/09 00:00:00,Het eeuwige vuur van Moreni. — Hierboven een foto van de,http://resolver.kb.nl/resolve?urn=MMSAEN01:000050682:mpeg21:a0097:ocr,5 stars,0.27003252506256104
1916/02/21 00:00:00,Astra Romana.,http://resolver.kb.nl/resolve?urn=ddd:010652602:mpeg21:a0191:ocr,5 stars,0.4404076635837555
1905/04/26 00:00:00,De Romano-American Co.,http://resolver.kb.nl/resolve?urn=ddd:110558173:mpeg21:a0076:ocr,3 stars,0.23662760853767395
1911/04/18 00:00:00,De „Koninklijke” in Rumenië.,http://resolver.kb.nl/resolve?urn=ddd:010337953:mpeg21:a0094:ocr,5 stars,0.4572998583316803
1929/09/13 00:00:00,De petroleumbrand te Moreni woedt nog steeds.,http://resolver.kb.nl/resolve?urn=ddd:010746002:mpeg21:a0070:ocr,1 star,0.260927677154541
1929/01/29 00:00:00,BRONNEN VAN MORENI.,http://resolver.kb.nl/resolve?urn=ddd:010011994:mpeg21:a0206:ocr,3 stars,0.2635034918785095
1928/05/22 00:00:00,DE ONTZAGLIJKE PETROLEUM-BRANDEN TE MORENI IN,http://resolver.kb.nl/resolve?urn=MMKB04:000145471:mpeg21:a0047:ocr,1 star,0.485036700963974
1915/11/04 00:00:00,Astra Romana.,http://resolver.kb.nl/resolve?urn=MMKB23:001502094:mpeg21:a00085:ocr,5 stars,0.4404076635837555
1925/07/30 00:00:00,Het petroleum-dorp Moreni in vlammen.,http://resolver.kb.nl/resolve?urn=MMKB23:001313067:mpeg21:a00012:ocr,1 star,0.5401570200920105
1925/07/30 00:00:00,Het petroleum-dorp Moreni in vlammen.,http://resolver.kb.nl/resolve?urn=MMKB23:001313068:mpeg21:a00012:ocr,1 star,0.5401570200920105
1925/08/01 00:00:00,PETROLEUMBRAND IN RUMENIE. HET DORP MORENI IN VLAMMEN.,http://resolver.kb.nl/resolve?urn=ddd:010347719:mpeg21:a0023:ocr,1 star,0.7243272066116333
1937/06/17 00:00:00,Ontploffing te Moreni.,http://resolver.kb.nl/resolve?urn=MMKB27:017805080:mpeg21:a00094:ocr,1 star,0.519828736782074
1929/03/11 00:00:00,DE BALKAN.,http://resolver.kb.nl/resolve?urn=MMSAA06:165623059:mpeg21:a00018:ocr,4 stars,0.2905445396900177
1930/05/31 00:00:00,Na een jaar is het gelukt den petroleumbrand te Moreni (Roemenie) te blusschen.,http://resolver.kb.nl/resolve?urn=MMSADB01:000015617:mpeg21:a0088:ocr,1 star,0.47570425271987915
1931/09/29 00:00:00,"Botsing tusschen twee petroleum-treinen bij Moreni in Roemenië, waarbij 14",http://resolver.kb.nl/resolve?urn=MMGARO01:000177548:mpeg21:a0061:ocr,1 star,0.6331157684326172
1937/06/17 00:00:00,Ontploffing te Moreni,http://resolver.kb.nl/resolve?urn=ddd:010538323:mpeg21:a0147:ocr,1 star,0.4844914376735687
1937/06/17 00:00:00,ONTPLOFFING TE MORENI.,http://resolver.kb.nl/resolve?urn=ddd:010933854:mpeg21:a0102:ocr,1 star,0.519828736782074
1937/06/17 00:00:00,Ontploffing te Moreni,http://resolver.kb.nl/resolve?urn=MMNHA03:179172030:mpeg21:a00019:ocr,1 star,0.4844914376735687
1937/06/17 00:00:00,ONTPLOFFING TE MORENI.,http://resolver.kb.nl/resolve?urn=MMKB23:001227140:mpeg21:a00090:ocr,1 star,0.519828736782074
1937/06/17 00:00:00,Ontploffing te Moreni.,http://resolver.kb.nl/resolve?urn=MMKB23:001358066:mpeg21:a00019:ocr,1 star,0.519828736782074
1916/03/22 00:00:00,Astra Romana.,http://resolver.kb.nl/resolve?urn=ddd:010652657:mpeg21:a0100:ocr,5 stars,0.4404076635837555
1930/05/20 00:00:00,De brand van Moreni.,http://resolver.kb.nl/resolve?urn=MMKB19:000067117:mpeg21:a00008:ocr,1 star,0.28434208035469055
1929/02/01 00:00:00,Brand in petroleumbronnen.,http://resolver.kb.nl/resolve?urn=MMECAL02:180117009:mpeg21:a00027:ocr,5 stars,0.434297114610672
1920/04/06 00:00:00,Astra Romana.,http://resolver.kb.nl/resolve?urn=ddd:010654504:mpeg21:a0074:ocr,5 stars,0.4404076635837555
1929/07/23 00:00:00,ASTRA ROMANA. Sonde 305 van Moreni.,http://resolver.kb.nl/resolve?urn=ddd:010659357:mpeg21:a0144:ocr,5 stars,0.29459884762763977
